Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 62,Clc1cc2NCNS(=O)(=O)c2cc1S(=O)(=O)N,C7H8ClN3O4S2,297.74,17,6,0.14,1,6,3,67.58,135.12,-0.19,-0.07,0.86,-0.86,-0.96,-0.24,-1.84,4.33E+00,1.46E-02,Very soluble,-2.32,1.44E+00,4.83E-03,Soluble,-2.87,4.01E-01,1.35E-03,Soluble,High,No,No,No,No,No,No,No,-8.17,0,0,0,1,0,0.55,0,0,0,2.87
Molecule 63,COc1cc(O)c(c(c1C(=O)C=Cc1ccc(cc1)O)O)CC=C(C)C,C21H22O5,354.4,26,12,0.19,6,5,3,102.53,86.99,2.93,5.07,4.11,2.36,4.31,3.76,-5.18,2.36E-03,6.65E-06,Moderately soluble,-6.64,8.14E-05,2.30E-07,Poorly soluble,-4.58,9.26E-03,2.61E-05,Moderately soluble,High,No,No,Yes,No,Yes,No,Yes,-4.86,0,0,0,0,1,0.55,0,2,2,3.16
Molecule 64,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2C(=O)C)C)C,C21H30O2,314.46,23,0,0.81,1,2,0,94.01,34.14,3.08,3.87,4.72,3.95,4.49,4.02,-4.16,2.17E-02,6.89E-05,Moderately soluble,-4.28,1.64E-02,5.20E-05,Moderately soluble,-4.38,1.30E-02,4.15E-05,Moderately soluble,High,Yes,No,No,Yes,Yes,No,No,-5.47,0,0,0,0,0,0.55,0,0,1,4.96
Molecule 65,CC(=O)Nc1ccc(cc1)O,C8H9NO2,151.16,11,6,0.12,2,2,2,42.78,49.33,1.21,0.46,1.16,0.91,0.89,0.93,-1.34,6.93E+00,4.59E-02,Very soluble,-1.06,1.30E+01,8.62E-02,Very soluble,-2.19,9.72E-01,6.43E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.9,0,1,0,0,1,0.55,0,1,1,1
Molecule 66,CC(=O)Nc1nnc(s1)S(=O)(=O)N,C4H6N4O3S2,222.25,13,5,0.25,3,6,2,45.22,151.66,-0.21,-0.26,0.03,-2.34,-0.33,-0.62,-1.14,1.61E+01,7.23E-02,Very soluble,-2.47,7.60E-01,3.42E-03,Soluble,-0.88,2.90E+01,1.31E-01,Soluble,Low,No,No,No,No,No,No,No,-7.84,0,1,1,1,2,0.55,0,1,1,3
Molecule 67,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+](=O)[O-],C12H9N3O5S,307.28,21,11,0.08,6,6,1,76.65,142.35,0.9,2.04,2.04,0.31,0.49,1.16,-3.02,2.92E-01,9.51E-04,Soluble,-4.66,6.76E-03,2.20E-05,Moderately soluble,-3.25,1.71E-01,5.57E-04,Soluble,Low,No,No,No,Yes,No,No,No,-6.73,0,0,1,1,0,0.55,0,3,0,2.83
Molecule 68,CC(=O)Oc1ccccc1C(=O)O,C9H8O4,180.16,13,6,0.11,3,4,1,44.9,63.6,1.3,1.19,1.31,1.51,1.1,1.28,-1.85,2.54E+00,1.41E-02,Very soluble,-2.12,1.36E+00,7.56E-03,Soluble,-1.85,2.57E+00,1.43E-02,Soluble,High,Yes,No,No,No,No,No,No,-6.55,0,0,0,0,1,0.85,0,1,1,1.52
Molecule 69,O=C(C(C)(C)C)OCOP(=O)(OCOC(=O)C(C)(C)C)COCCn1cnc2c1ncnc2N,C20H32N5O8P,501.47,34,9,0.65,15,11,1,122.26,176.79,3.72,1.82,2.71,-0.19,0.41,1.69,-3.3,2.50E-01,4.99E-04,Soluble,-5.15,3.53E-03,7.04E-06,Moderately soluble,-3.87,6.84E-02,1.36E-04,Soluble,Low,No,Yes,Yes,Yes,No,No,Yes,-8.07,2,1,2,1,2,0.17,0,3,2,4.51
Molecule 70,CC(Cc1ccc(cc1)C(C(=O)O)C)C,C13H18O2,206.28,15,6,0.46,4,2,1,62.18,37.3,2.17,3.5,3.07,3.13,3.15,3,-3.36,9.09E-02,4.41E-04,Soluble,-3.97,2.23E-02,1.08E-04,Soluble,-3.44,7.49E-02,3.63E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.07,0,0,0,0,0,0.85,0,0,1,1.92
Molecule 71,O=Cc1c(cccc1O)OCc1cccnc1c1ccnn1C(C)C,C19H19N3O3,337.37,25,17,0.21,6,5,1,94.72,77.24,2.68,2.69,3.47,0.94,3.14,2.59,-3.73,6.23E-02,1.85E-04,Soluble,-3.96,3.66E-02,1.08E-04,Soluble,-5.38,1.40E-03,4.15E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.45,0,0,0,0,0,0.55,0,1,0,2.89
Molecule 72,CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C,C20H21ClO4,360.83,25,12,0.3,7,4,0,97.98,52.6,3.67,5.17,4.68,3.54,4.95,4.4,-5.23,2.14E-03,5.92E-06,Moderately soluble,-6.02,3.44E-04,9.53E-07,Poorly soluble,-6.51,1.12E-04,3.10E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,No,-4.83,0,0,0,0,1,0.55,0,0,2,2.64
Molecule 73,OC(=O)C(c1ccc(c(c1)F)c1ccccc1)C,C15H13FO2,244.26,18,12,0.13,3,3,1,68.19,37.3,2,4.16,4.1,3.79,3.87,3.59,-4.27,1.31E-02,5.36E-05,Moderately soluble,-4.65,5.45E-03,2.23E-05,Moderately soluble,-5.01,2.39E-03,9.79E-06,Moderately soluble,High,Yes,No,No,No,No,No,No,-4.84,0,0,0,0,0,0.85,0,0,2,2.45
Molecule 74,OC(=O)C(c1cccc(c1)C(=O)c1ccccc1)C,C16H14O3,254.28,19,12,0.12,4,3,1,72.67,54.37,1.91,3.12,3.11,2.69,3.37,2.84,-3.59,6.60E-02,2.60E-04,Soluble,-3.93,2.98E-02,1.17E-04,Soluble,-4.68,5.35E-03,2.10E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.64,0,0,0,0,0,0.85,0,0,0,2.57
Molecule 75,COc1ccc2c(c1)ccc(c2)C(C(=O)O)C,C14H14O3,230.26,17,10,0.21,3,3,1,66.79,46.53,1.92,3.34,3.04,2.57,2.9,2.76,-3.61,5.66E-02,2.46E-04,Soluble,-3.99,2.33E-02,1.01E-04,Soluble,-4.02,2.21E-02,9.62E-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.33,0,0,0,0,0,0.85,0,0,1,1.85
Molecule 76,OC(=O)C(c1ccc2c(c1)CC(=O)c1c(S2)cccc1)C,C17H14O3S,298.36,21,12,0.18,2,3,1,81.6,79.67,2.28,3.47,3.76,3.08,3.99,3.32,-4.17,2.03E-02,6.81E-05,Moderately soluble,-4.83,4.46E-03,1.50E-05,Moderately soluble,-5.26,1.62E-03,5.45E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.66,0,0,0,0,0,0.56,0,0,0,3.39
Molecule 77,Fc1ccc(c(c1)F)C(C(c1ncncc1F)C)(Cn1cncn1)O,C16H14F3N5O,349.31,25,17,0.25,5,8,1,81.19,76.72,2.16,1.51,3.33,2.15,2.83,2.4,-3.13,2.59E-01,7.41E-04,Soluble,-2.73,6.52E-01,1.87E-03,Soluble,-5.44,1.27E-03,3.63E-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-7.36,0,0,0,0,0,0.55,0,0,0,3.61
Molecule 78,N#Cc1ccc(cc1C(F)(F)F)NC(=O)C(CS(=O)(=O)c1ccc(cc1)F)(O)C,C18H14F4N2O4S,430.37,29,12,0.22,7,9,2,93.86,115.64,1.95,2.31,5.34,2.47,3.22,3.06,-3.81,6.70E-02,1.56E-04,Soluble,-4.38,1.81E-02,4.20E-05,Moderately soluble,-6.25,2.41E-04,5.60E-07,Poorly soluble,Low,No,Yes,No,Yes,No,No,Yes,-7.29,0,0,0,0,0,0.55,0,0,1,3.53
Molecule 79,C=C1C2CCC3C(C1=O)(C2O)C1(O)OCC23C(O)CCC(C2C1O)(C)C,C20H28O6,364.43,26,0,0.85,0,6,4,92.4,107.22,1.98,0.08,0.38,0.86,1.24,0.91,-2.15,2.58E+00,7.08E-03,Soluble,-1.89,4.74E+00,1.30E-02,Very soluble,-1.6,9.15E+00,2.51E-02,Soluble,High,No,Yes,No,No,No,No,No,-8.47,0,0,0,0,0,0.55,0,1,1,6.68
Molecule 80,C#CC1(O)CCC2C1(C)CCC1C2CCC2=Cc3c(CC12C)cno3,C22H27NO2,337.46,25,5,0.68,0,3,1,98.86,46.26,3.27,3.7,4.19,3.97,4.27,3.88,-4.41,1.31E-02,3.88E-05,Moderately soluble,-4.36,1.47E-02,4.34E-05,Moderately soluble,-4.67,7.18E-03,2.13E-05,Moderately soluble,High,Yes,Yes,Yes,No,Yes,No,No,-5.73,0,0,0,0,0,0.55,0,1,1,5.5
Molecule 81,O=C1CCC2(C(=C1)CCC1C2CCC2(C1CCC2O)C)C,C19H28O2,288.42,21,0,0.84,0,2,1,85.36,37.3,2.93,3.32,3.88,3.59,3.58,3.46,-3.72,5.50E-02,1.91E-04,Soluble,-3.78,4.79E-02,1.66E-04,Soluble,-3.48,9.46E-02,3.28E-04,Soluble,High,Yes,No,No,No,No,No,No,-5.7,0,0,0,0,0,0.55,0,0,0,4.62
Molecule 82,COc1c(O)c(CC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(CCC=C(C)C)C)C)C)C)C)C)C)C)C)c(c(c1OC)O)C,C59H92O4,865.36,63,6,0.56,31,4,2,284.21,58.92,12,20.16,18.47,9.54,19.45,15.93,-15.93,1.02E-13,1.17E-16,Insoluble,-21.71,1.69E-19,1.96E-22,Insoluble,-14.03,8.04E-12,9.29E-15,Insoluble,Low,No,Yes,No,No,No,No,No,2.73,2,4,1,1,3,0.17,0,2,3,7.53
Molecule 83,OC(=O)c1ccccc1Nc1cccc(c1C)C,C15H15NO2,241.29,18,12,0.13,3,2,2,72.88,49.33,2.34,5.12,3.75,2.22,3.1,3.3,-4.86,3.35E-03,1.39E-05,Moderately soluble,-5.9,3.04E-04,1.26E-06,Moderately soluble,-5.12,1.83E-03,7.57E-06,Moderately soluble,High,Yes,No,Yes,No,Yes,Yes,No,-4.14,0,0,0,0,1,0.85,0,0,2,2.01
Molecule 84,CC(c1c(C)n(n(c1=O)c1ccccc1)C)C,C14H18N2O,230.31,17,11,0.36,2,1,0,70.84,26.93,2.97,1.94,2.61,2.99,2.54,2.61,-2.84,3.35E-01,1.46E-03,Soluble,-2.13,1.71E+00,7.42E-03,Soluble,-3.61,5.60E-02,2.43E-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.33,0,0,0,0,0,0.55,0,0,1,2.44
Molecule 85,CC(=CC=CC=C(C=CC=C(C=CC1=C(C)CC(CC1(C)C)O)C)C)C=CC=C(C=CC1C(=CC(CC1(C)C)O)C)C,C40H56O2,568.87,42,0,0.45,10,2,2,186.76,40.46,7.15,11.01,10.4,6.96,10.51,9.21,-9.64,1.29E-07,2.27E-10,Poorly soluble,-11.83,8.49E-10,1.49E-12,Insoluble,-5.49,1.84E-03,3.23E-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-1.95,2,4,0,1,1,0.17,0,2,3,7.01
Molecule 86,COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,C19H16ClNO4,357.79,25,15,0.16,5,4,1,96.12,68.53,2.76,4.27,3.93,3.3,3.91,3.63,-4.86,4.91E-03,1.37E-05,Moderately soluble,-5.42,1.36E-03,3.79E-06,Moderately soluble,-5.79,5.83E-04,1.63E-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.45,0,0,0,0,0,0.85,0,0,2,2.51
Molecule 87,COc1ccc2c(c1)c(CC(=O)OCC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,C21H18ClNO6,415.82,29,15,0.19,8,6,1,107.02,94.83,2.95,4.19,3.47,2.86,3.8,3.46,-4.91,5.09E-03,1.22E-05,Moderately soluble,-5.89,5.35E-04,1.29E-06,Moderately soluble,-5.83,6.08E-04,1.46E-06,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.86,0,0,0,0,0,0.56,0,0,3,2.89
Molecule 88,N#Cc1cc(c2ccncc2)c([nH]c1=O)C,C12H9N3O,211.22,16,12,0.08,1,3,1,59.97,69.54,1.46,0.62,1.62,0.41,3.04,1.43,-2.03,1.98E+00,9.35E-03,Soluble,-1.65,4.68E+00,2.21E-02,Very soluble,-4.56,5.86E-03,2.77E-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-7.15,0,0,0,0,0,0.55,0,0,1,2.26
Molecule 89,Cc1nc(C)c(nc1C)C,C8H12N2,136.19,10,6,0.5,0,2,0,41.9,25.78,1.99,1.28,1.71,0.55,2.66,1.64,-1.93,1.58E+00,1.16E-02,Very soluble,-1.42,5.17E+00,3.79E-02,Very soluble,-3.17,9.21E-02,6.76E-04,Soluble,High,Yes,No,No,No,No,No,No,-6.22,0,1,0,0,1,0.55,0,0,1,1.83
Molecule 90,OC(=O)CNC(=O)c1nc(C)c2c(c1O)ccc(c2)Oc1ccccc1,C19H16N2O5,352.34,26,16,0.11,6,6,3,94.82,108.75,1.87,3.43,2.86,1.01,2.47,2.33,-4.24,2.01E-02,5.69E-05,Moderately soluble,-5.39,1.42E-03,4.03E-06,Moderately soluble,-5.51,1.09E-03,3.10E-06,Moderately soluble,High,No,No,Yes,No,Yes,Yes,No,-6.01,0,0,0,0,0,0.56,0,0,1,2.45
Molecule 91,Cc1ccc(cc1)c1cc(nn1c1ccc(cc1)S(=O)(=O)N)C(F)(F)F,C17H14F3N3O2S,381.37,26,17,0.12,4,7,1,89.96,86.36,2.56,3.4,5.75,2.65,2.63,3.4,-4.57,1.04E-02,2.71E-05,Moderately soluble,-4.89,4.88E-03,1.28E-05,Moderately soluble,-6.22,2.29E-04,6.01E-07,Poorly soluble,High,No,No,Yes,No,Yes,No,No,-6.21,0,1,0,0,0,0.55,0,0,1,2.74
Molecule 92,Cc1cnc(s1)NC(=O)C1=C(O)c2ccccc2S(=O)(=O)N1C,C14H13N3O4S2,351.4,23,11,0.14,3,5,2,90.37,136.22,1.74,3.43,2.46,-0.26,1.3,1.73,-4.34,1.62E-02,4.62E-05,Moderately soluble,-5.97,3.76E-04,1.07E-06,Moderately soluble,-3.75,6.19E-02,1.76E-04,Soluble,High,No,No,No,No,Yes,No,Yes,-6.01,0,0,0,1,0,0.56,0,0,1,3.57
Molecule 93,Clc1cnc(c(c1)c1ccc(cc1)S(=O)(=O)C)c1ccc(nc1)C,C18H15ClN2O2S,358.84,24,18,0.11,3,4,0,95.97,68.3,2.75,3.34,5.26,2.48,4.41,3.65,-4.53,1.07E-02,2.98E-05,Moderately soluble,-4.45,1.27E-02,3.54E-05,Moderately soluble,-7.96,3.97E-06,1.11E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,No,Yes,-6.12,0,0,0,0,0,0.55,0,0,1,2.96
Molecule 94,CC(Cn1c(C)ncc1[N+](=O)[O-])O,C7H11N3O3,185.18,13,5,0.57,3,4,1,48.05,83.87,0.58,0.22,0.48,-0.43,-1.48,-0.13,-1.21,1.13E+01,6.12E-02,Very soluble,-1.54,5.33E+00,2.88E-02,Very soluble,-0.45,6.65E+01,3.59E-01,Soluble,High,No,No,No,No,No,No,No,-7.27,0,0,0,0,1,0.55,0,2,1,2.83
Molecule 95,Oc1cc(O)c2c(c1)oc(c(c2=O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O)c1ccc(c(c1)O)O,C27H30O16,610.52,43,16,0.44,6,16,10,141.38,269.43,1.58,-0.33,-1.69,-3.89,-2.11,-1.29,-3.3,3.08E-01,5.05E-04,Soluble,-4.87,8.30E-03,1.36E-05,Moderately soluble,-0.29,3.15E+02,5.15E-01,Soluble,Low,No,Yes,No,No,No,No,No,-10.26,3,4,1,1,4,0.17,1,1,1,6.52
Molecule 96,COc1ccc(cc1O)C1CC(=O)c2c(O1)cc(cc2O)OC1OC(COC2OC(C)C(C(C2O)O)O)C(C(C1O)O)O,C28H34O15,610.56,43,12,0.54,7,15,8,141.41,234.29,2.6,-0.14,-1.48,-3.04,-1.55,-0.72,-3.28,3.19E-01,5.23E-04,Soluble,-4.33,2.88E-02,4.72E-05,Moderately soluble,-0.58,1.60E+02,2.62E-01,Soluble,Low,No,Yes,No,No,No,No,No,-10.12,3,4,1,1,4,0.17,0,0,1,6.34
Molecule 97,COC1=CC(=O)CC(C21Oc1c(C2=O)c(OC)cc(c1Cl)OC)C,C17H17ClO6,352.77,24,6,0.41,3,6,0,86.59,71.06,2.95,2.18,2.81,0.71,3.39,2.41,-3.39,1.45E-01,4.10E-04,Soluble,-3.31,1.75E-01,4.95E-04,Soluble,-4.71,6.89E-03,1.95E-05,Moderately soluble,High,Yes,No,Yes,No,Yes,No,Yes,-6.9,0,0,0,0,0,0.85,0,0,1,4.59
Molecule 98,CCC(N1CCCC1=O)C(=O)N,C8H14N2O2,170.21,12,0,0.75,3,2,1,48.37,63.4,1.25,-0.34,-0.51,-0.27,0.27,0.08,-0.48,5.60E+01,3.29E-01,Very soluble,-0.53,5.03E+01,2.95E-01,Very soluble,-0.64,3.91E+01,2.30E-01,Soluble,High,No,No,No,No,No,No,No,-7.58,0,1,0,0,1,0.55,0,0,1,1.82
Molecule 99,CCC(C(=O)OC1CC(C)C=C2C1C(CCC1CC(O)CC(=O)O1)C(C=C2)C)(C)C,C25H38O5,418.57,30,0,0.76,7,5,1,118.47,72.83,3.84,4.68,4.59,3.77,3.77,4.13,-4.92,5.01E-03,1.20E-05,Moderately soluble,-5.94,4.84E-04,1.16E-06,Moderately soluble,-3.56,1.15E-01,2.74E-04,Soluble,High,No,No,No,No,Yes,No,Yes,-5.53,0,0,0,0,0,0.55,0,1,2,5.8
Molecule 100,CCC(n1ncn(c1=O)c1ccc(cc1)N1CCN(CC1)c1ccc(cc1)OCC1COC(O1)(Cn1cncn1)c1ccc(cc1Cl)Cl)C,C35H38Cl2N8O4,705.63,49,28,0.37,11,7,0,194.53,104.7,5.26,5.66,4.71,4.21,3.7,4.71,-7.48,2.35E-05,3.33E-08,Poorly soluble,-7.62,1.68E-05,2.38E-08,Poorly soluble,-9.24,4.10E-07,5.81E-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.59,3,3,1,0,2,0.17,2,0,3,5.77
Molecule 101,CCC(COC(=O)C(NP(=O)(Oc1ccccc1)OCC1OC(C(C1O)O)(C#N)c1ccc2n1ncnc2N)C)CC,C27H35N6O8P,602.58,42,15,0.48,14,12,4,150.43,213.36,3.24,1.91,2.21,0.18,-0.05,1.5,-4.12,4.58E-02,7.59E-05,Moderately soluble,-6.01,5.84E-04,9.69E-07,Poorly soluble,-4.77,1.03E-02,1.71E-05,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-8.62,2,3,2,1,3,0.17,0,1,2,6.43
Molecule 102,CCCCCCCCCCCCCCCCCC(=O)O,C18H36O2,284.48,20,0,0.94,16,2,1,90.41,37.3,4.3,8.23,6.33,4.67,6.13,5.93,-5.73,5.26E-04,1.85E-06,Moderately soluble,-8.87,3.80E-07,1.33E-09,Poorly soluble,-6.11,2.19E-04,7.71E-07,Poorly soluble,High,No,No,Yes,No,No,No,No,-2.19,1,1,1,1,2,0.85,0,0,2,2.54
Molecule 103,CCCN(S(=O)(=O)c1ccc(cc1)C(=O)O)CCC,C13H19NO4S,285.36,19,6,0.46,7,5,1,73.43,83.06,2.15,3.21,3.28,1.75,1.2,2.32,-3.4,1.13E-01,3.95E-04,Soluble,-4.63,6.74E-03,2.36E-05,Moderately soluble,-3.42,1.08E-01,3.78E-04,Soluble,High,No,No,No,Yes,No,No,No,-5.76,0,0,0,0,0,0.56,0,0,0,2.23
Molecule 104,CCn1cc(C(=O)O)c(=O)c2c1nc(C)cc2,C12H12N2O3,232.24,17,10,0.25,2,4,1,64,72.19,1.54,1.41,1.42,0.83,1.68,1.38,-2.47,7.84E-01,3.38E-03,Soluble,-2.53,6.85E-01,2.95E-03,Soluble,-2.97,2.48E-01,1.07E-03,Soluble,High,No,No,No,No,No,No,No,-6.72,0,0,0,0,0,0.85,0,0,1,1.94
Molecule 105,CCn1cc(C(=O)O)c(=O)c2c1cc(N1CCNCC1)c(c2)F,C16H18FN3O3,319.33,23,10,0.38,3,5,2,92.55,74.57,2.16,-1.03,0.93,1.04,1.82,0.98,-1.29,1.62E+01,5.07E-02,Very soluble,-0.05,2.86E+02,8.95E-01,Very soluble,-3.7,6.31E-02,1.98E-04,Soluble,High,No,Yes,No,No,No,No,No,-8.98,0,0,0,0,0,0.55,0,0,0,2.46
Molecule 106,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(=O)(=O)N,C15H23N3O4S,341.43,23,6,0.53,7,6,2,90.46,110.11,1.5,0.57,1.26,0.13,0.35,0.76,-2.05,3.06E+00,8.97E-03,Soluble,-2.45,1.20E+00,3.51E-03,Soluble,-3.47,1.16E-01,3.39E-04,Soluble,High,No,Yes,No,No,No,No,No,-7.98,0,0,0,0,0,0.55,0,0,0,2.97
Molecule 107,CCOC(=O)N1CCC(=C2c3ccc(cc3CCc3c2nccc3)Cl)CC1,C22H23ClN2O2,382.88,27,12,0.36,3,3,0,111.66,42.43,3.82,5.2,4.51,3.72,4.9,4.43,-5.62,9.17E-04,2.39E-06,Moderately soluble,-5.84,5.56E-04,1.45E-06,Moderately soluble,-7.1,3.04E-05,7.94E-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-4.94,0,0,0,0,1,0.55,0,0,2,3.56
Molecule 108,CCOc1ccccc1C(=O)N,C9H11NO2,165.19,12,6,0.22,3,2,1,45.84,52.32,1.46,0.9,1.18,1.23,1.31,1.22,-1.6,4.12E+00,2.49E-02,Very soluble,-1.58,4.31E+00,2.61E-02,Very soluble,-2.51,5.09E-01,3.08E-03,Soluble,High,Yes,No,No,No,No,No,No,-6.67,0,0,0,0,1,0.55,0,0,1,1.32
Molecule 109,O=C(C1=C(O)c2ccccc2S(=O)(=O)N1C)Nc1ccccn1,C15H13N3O4S,331.35,23,12,0.07,3,5,2,87.52,107.98,1.67,3.06,2.09,-0.04,0.14,1.38,-4.01,3.24E-02,9.77E-05,Moderately soluble,-4.99,3.36E-03,1.01E-05,Moderately soluble,-4.11,2.57E-02,7.76E-05,Moderately soluble,High,No,No,No,No,Yes,No,No,-6.15,0,0,0,0,0,0.56,0,0,0,3.42
Molecule 110,NC(=O)c1ncn2c1nnn(c2=O)C,C6H6N6O2,194.15,14,9,0.17,1,5,1,44.4,108.17,1.29,-1.06,-2.08,-0.98,-1.78,-0.92,-0.79,3.18E+01,1.64E-01,Very soluble,-0.72,3.68E+01,1.89E-01,Very soluble,-0.03,1.81E+02,9.31E-01,Soluble,High,No,No,No,No,No,No,No,-8.24,0,1,0,0,1,0.55,0,0,1,2.35
Molecule 111,Cn1c(=O)n(C)c2c(c1=O)[nH]cn2,C7H8N4O2,180.16,13,9,0.29,0,3,1,47.14,72.68,0.53,-0.02,-1.04,-0.52,0.12,-0.19,-1.46,6.29E+00,3.49E-02,Very soluble,-1.06,1.58E+01,8.78E-02,Very soluble,-1.1,1.42E+01,7.89E-02,Soluble,High,No,No,No,No,No,No,No,-7.41,0,1,0,0,1,0.55,0,0,1,1.87
Molecule 112,Cn1cnc2c1c(=O)n(C)c(=O)n2C,C8H10N4O2,194.19,14,9,0.38,0,3,0,52.04,61.82,1.79,-0.07,-1.03,0.22,-0.5,0.08,-1.48,6.50E+00,3.35E-02,Very soluble,-0.78,3.25E+01,1.67E-01,Very soluble,-0.67,4.15E+01,2.14E-01,Soluble,High,No,No,No,No,No,No,No,-7.53,0,1,0,0,1,0.55,0,0,1,2.03
Molecule 113,CNCc1ccc(cc1)c1[nH]c2c3c1CCNC(=O)c3cc(c2)F,C19H18FN3O,323.36,24,15,0.21,3,3,3,96.03,56.92,2.48,2.49,2.87,2.6,4.65,3.02,-3.68,6.79E-02,2.10E-04,Soluble,-3.33,1.51E-01,4.67E-04,Soluble,-7.67,6.90E-06,2.13E-08,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.5,0,0,0,0,0,0.55,0,0,0,2.81
Molecule 114,CNCCC(c1ccccc1)Oc1ccc(cc1)C(F)(F)F.Cl,C17H19ClF3NO,345.79,23,12,0.29,7,5,1,86.61,21.26,0,5.03,6.06,4.28,4.58,3.99,-5.08,2.90E-03,8.38E-06,Moderately soluble,-5.22,2.10E-03,6.06E-06,Moderately soluble,-6.82,5.20E-05,1.50E-07,Poorly soluble,High,No,No,No,No,No,Yes,Yes,-4.84,1,1,0,1,1,0.55,0,0,1,2.64
Molecule 115,COC(=O)C=CC(=O)OC,C6H8O4,144.13,10,0,0.33,4,4,0,33.05,52.6,1.93,0.22,-0.11,0.15,0.2,0.48,-0.61,3.55E+01,2.47E-01,Very soluble,-0.88,1.88E+01,1.31E-01,Very soluble,-0.1,1.15E+02,7.96E-01,Soluble,High,No,No,No,No,No,No,No,-7.02,0,3,0,0,1,0.55,0,2,1,2.12
Molecule 116,COc1ccc(cc1C(=O)NCCc1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1)Cl,C23H28ClN3O5S,494,33,12,0.39,11,5,3,126.25,121.98,2.81,4.81,4.72,2.58,3,3.58,-5.48,1.65E-03,3.34E-06,Moderately soluble,-7.1,3.89E-05,7.87E-08,Poorly soluble,-7.71,9.63E-06,1.95E-08,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-5.9,0,1,1,0,0,0.55,0,0,3,3.34
Molecule 117,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,C22H24ClFN4O3,446.9,31,16,0.36,8,7,1,121.66,68.74,4.04,4.11,4.32,2.82,4.31,3.92,-5.05,3.95E-03,8.83E-06,Moderately soluble,-5.26,2.46E-03,5.50E-06,Moderately soluble,-7.94,5.14E-06,1.15E-08,Poorly soluble,High,Yes,No,No,Yes,Yes,Yes,Yes,-6.11,0,0,0,0,0,0.55,0,0,3,3.26
Molecule 118,COc1cc(C=CC(=O)CC(=O)C=Cc2ccc(c(c2)OC)O)ccc1O,C21H20O6,368.38,27,12,0.14,8,6,2,102.8,93.06,3.27,3.2,3.15,1.47,4.04,3.03,-3.94,4.22E-02,1.15E-04,Soluble,-4.83,5.50E-03,1.49E-05,Moderately soluble,-4.45,1.31E-02,3.56E-05,Moderately soluble,High,No,No,No,No,Yes,No,Yes,-6.28,0,0,0,0,0,0.55,0,2,2,2.97
